자치구,사업구분,사업장명,대표지번,진행단계,lat,lng
마포구,재개발(도시정비형),마포로3구역제3지구 도시환경정비사업조합,아현동 613-10,착공,37.5505624,126.9525116
마포구,재개발(주택정비형),아현3구역 주택재개발정비사업 조합(뉴타운),아현동 635,조합해산,37.5505624,126.9525116
마포구,재개발(주택정비형),염리5구역 주택재개발 조합설립추진위원회(뉴타운),염리동 105,추진위원회승인,37.54914,126.94915
마포구,재개발(주택정비형),염리제3구역주택재개발정비사업조합(뉴타운),염리동 507,조합해산,37.5501812,126.9479037
양천구,재건축,신월4동431번지일대 주택재건축정비사업조합,신월동 432-6,이전고시,37.52782,126.83692
강서구,재건축,유풍연립주택재건축정비사업조합설립추진위원회,화곡동 1040-24,추진위원회승인,37.54208,126.84656
강서구,재건축,태원연립주택재건축정비사업조합,등촌동 651,이전고시,37.5498936,126.86025
강서구,재건축,긴등마을주택재건축정비사업조합,마곡동 725-1,준공인가,37.566575,126.826243
구로구,재건축,개봉3 재건축정비사업조합,개봉동 454-14,조합설립인가,37.4931629,126.851736
구로구,재건축,개봉5구역 주택재건축정비사업조합,개봉동 68-64,착공,37.4931629,126.851736
영등포구,재개발(도시정비형),영등포1-2재정비촉진구역 도시환경정비사업 조합,영등포동7가 76-5,사업시행인가,37.5236083,126.9038853
영등포구,재개발(도시정비형),67. 양평제10구역 도시환경정비사업 조합설립추진위원회,양평동1가 9-6,추진위원회승인,37.52309,126.88868
중랑구,가로주택정비,망우동 509의1 가로주택정비사업,망우동 509-1,조합설립인가,37.60178,127.1054
강동구,소규모재건축,고덕대우아파트 소규모재건축사업,고덕동 470,조합설립인가,37.56528,127.15761
강동구,재개발(주택정비형),천호 A1-1구역 공공재개발 정비사업 주민대표회의,천호동 467-61,조합설립인가,37.54294,127.12733
성북구,가로주택정비,석관2의2구역 가로주택정비사업,석관동 332-336,조합설립인가,37.60789,127.06116
양천구,재건축,목동13단지아파트 재건축정비사업,신정동 327,조합설립인가,37.5162407,126.8521196
영등포구,재개발(주택정비형),신길16-2구역 주택재개발,신길동 314-14,정비계획 수립,37.5065214,126.9119108
성북구,재개발(주택정비형),하월곡1구역 주택정비형 재개발사업,하월곡동 70-1,추진위원회승인,37.60444,127.03764
