자치구,사업구분,사업장명,대표지번,진행단계,lat,lng,매칭구역,has_polygon
마포구,재개발(도시정비형),마포로3구역제3지구 도시환경정비사업조합,아현동 613-10,착공,37.55289357606819,126.95586525227102,마포로3구역 제3지구 도시정비형재개발사업,True
마포구,재개발(주택정비형),아현3구역 주택재개발정비사업 조합(뉴타운),아현동 635,조합해산,37.52904800135316,126.9670616292404,3구역,True
마포구,재개발(주택정비형),염리5구역 주택재개발 조합설립추진위원회(뉴타운),염리동 105,추진위원회승인,37.52634210552457,126.96596738306883,5구역,True
마포구,재개발(주택정비형),염리제3구역주택재개발정비사업조합(뉴타운),염리동 507,조합해산,37.52904800135316,126.9670616292404,3구역,True
양천구,재건축,신월4동431번지일대 주택재건축정비사업조합,신월동 432-6,이전고시,37.52050824965235,126.85186260618221,도시환경정비사업,True
강서구,재건축,유풍연립주택재건축정비사업조합설립추진위원회,화곡동 1040-24,추진위원회승인,37.52050824965235,126.85186260618221,도시환경정비사업,True
강서구,재건축,태원연립주택재건축정비사업조합,등촌동 651,이전고시,37.52050824965235,126.85186260618221,도시환경정비사업,True
강서구,재건축,긴등마을주택재건축정비사업조합,마곡동 725-1,준공인가,37.564147152648154,126.81740964202776,긴등마을 재정비촉진구역,True
구로구,재건축,개봉3 재건축정비사업조합,개봉동 454-14,조합설립인가,37.487472248333255,126.85772171113777,개봉3동 너른뜰마을 관리형주거환경개선사업 정비구역,True
구로구,재건축,개봉5구역 주택재건축정비사업조합,개봉동 68-64,착공,37.52634210552457,126.96596738306883,5구역,True
영등포구,재개발(도시정비형),영등포1-2재정비촉진구역 도시환경정비사업 조합,영등포동7가 76-5,사업시행인가,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
영등포구,재개발(도시정비형),67. 양평제10구역 도시환경정비사업 조합설립추진위원회,양평동1가 9-6,추진위원회승인,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
중랑구,가로주택정비,망우동 509의1 가로주택정비사업,망우동 509-1,조합설립인가,37.52050824965235,126.85186260618221,도시환경정비사업,True
