구역명,구역유형,위도,경도,면적
가재울8재정비촉진구역,도시환경정비사업구역,37.570923,126.914736,13245.9
4구역,도시환경정비사업구역,37.569677,126.996575,32157.0
신촌지역(마포)1-2지구 도시정비형 재개발구,도시환경정비사업구역,37.555908,126.93363,1427.2
양평제14 도시환경정비구역,도시환경정비사업구역,37.523882,126.885102,11105.2
양평제12 도시환경정비구역,도시환경정비사업구역,37.524442,126.887155,37609.6
공평 도시정비형 재개발구역,도시환경정비사업구역,37.571558,126.985595,94957.4
천호1구역,도시환경정비사업구역,37.541305,127.127958,38213.4
신촌지역 마포2도시환경정비구역,도시환경정비사업구역,37.554844,126.935477,9542.8
창신1도시정비형 재개발구역 1-6,도시환경정비사업구역,37.571456,127.011767,4009.0
천호_성내재정비촉진지구천호2구역도,도시환경정비사업구역,37.538693,127.126093,19865.1
용산공원남측도시환경정비사업,도시환경정비사업구역,37.524051,126.971506,50311.3
창신2도시정비형 재개발구역 2-3,도시환경정비사업구역,37.572156,127.013663,705.4
신길역세권 장기전세주택 도시정비형 재개발구역,도시환경정비사업구역,37.516233,126.91568,29111.1
마포로1구역 제24지구 재개발사업,도시환경정비사업구역,37.537204,126.944228,4661.7
창신2도시정비형 재개발구역 2-1,도시환경정비사업구역,37.57179,127.012669,800.6
창신4도시정비형 재개발구역 4-3,도시환경정비사업구역,37.571752,127.015214,5773.6
마포로3구역 제1지구 도시정비형 재개발사업,도시환경정비사업구역,37.551253,126.955078,4574.0
수송1-9 도시환경정비사업,도시환경정비사업구역,37.572621,126.981068,3288.2
도렴도시환경정비사업,도시환경정비사업구역,37.572054,126.973711,68043.1
사직1구역도시환경정비사업,도시환경정비사업구역,37.574205,126.96862,40136.4
명동도시정비형재개발구역,도시환경정비사업구역,37.565351,126.986654,18529.5
자양4 재정비촉진지구,도시환경정비사업구역,37.537767,127.081528,10804.8
양평 제13구역 도시정비형 재개발사업,도시환경정비사업구역,37.52513,126.88481,27489.6
5-1·3구역,도시환경정비사업구역,37.567843,126.996038,7610.8
창신1도시정비형 재개발구역 1-A,도시환경정비사업구역,37.570479,127.010935,17735.1
동자동제8구역도시환경정비사업,도시환경정비사업구역,37.550862,126.972784,5879.6
국립중앙의료원 부지 특별계획구역,도시환경정비사업구역,37.567438,127.006023,28051.2
내자·필운구역 도시정비형 재개발사업,도시환경정비사업구역,37.575333,126.970546,20714.4
창신4도시정비형 재개발구역 4-2,도시환경정비사업구역,37.572532,127.015308,1161.6
창신4도시정비형 재개발구역 4-1,도시환경정비사업구역,37.572034,127.014567,11891.4
창신4도시정비형 재개발구역,도시환경정비사업구역,37.571978,127.014811,18826.9
마포로3구역 제3지구 도시정비형재개발사업,도시환경정비사업구역,37.552891,126.95581,5562.2
청진구역 제17지구 도시환경정비구역,도시환경정비사업구역,37.57182,126.982209,1921.1
청량리4 재정비촉진구역,도시환경정비사업구역,37.578947,127.04496,41584.3
강북5 재정비촉진구역,도시환경정비사업구역,37.614555,127.029289,12701.6
삼양사거리역세권 장기전세주택 도시정비형재개발구역,도시환경정비사업구역,37.623145,127.020397,17716.6
신용산역 북측 제1구역 도시정비형 재개발구,도시환경정비사업구역,37.533058,126.970458,14056.8
청량리재정비촉진지구 1구역도시환경,도시환경정비사업구역,37.578696,127.041803,1823.5
세운 6-1-3구역,도시환경정비사업구역,37.565402,126.995258,15987.3
창신1도시정비형 재개발구역,도시환경정비사업구역,37.5708,127.011384,37440.6
문래동1가B 도시정비형재개발구역,도시환경정비사업구역,37.510932,126.894607,27692.4
남대문 도시정비형 재개발구역,도시환경정비사업구역,37.560076,126.978803,73835.5
성내3 촉진구역 도시환경정비사업,도시환경정비사업구역,37.537402,127.125614,6502.1
천호_성내재정비촉진지구성내2구역도,도시환경정비사업구역,37.536689,127.126852,18690.6
내수도시환경정비사업,도시환경정비사업구역,37.573443,126.971534,35430.8
서린도시환경정비사업,도시환경정비사업구역,37.569644,126.980411,32430.3
동자동 도시환경정비구역,도시환경정비사업구역,37.551887,126.973294,43924.9
창신1도시정비형 재개발구역 1-10,도시환경정비사업구역,37.570474,127.012258,2269.7
신도림동 293번지 일대 도시환경정비,도시환경정비사업구역,37.509907,126.879288,197565.4
신촌지역(마포)3-3지구 도시정비형 재개발구,도시환경정비사업구역,37.553905,126.937446,3252.4
청진1지구 도시환경정비구역,도시환경정비사업구역,37.572017,126.978856,4170.5
천왕2역세권 공공임대주택 건립,도시환경정비사업구역,37.488275,126.839039,12745.6
충현2구역 도시정비형 재개발구역,도시환경정비사업구역,37.566743,126.965186,1792.8
청량리재정비촉진지구 2구역도시환경,도시환경정비사업구역,37.578828,127.042193,1935.0
명동구역 제3지구 도시환경정비사업,도시환경정비사업구역,37.565692,126.987128,2751.7
다동도시환경정비사업,도시환경정비사업구역,37.56748,126.980874,80304.0
서소문 도시정비형  재개발구역,도시환경정비사업구역,37.561857,126.974276,91391.9
창신1도시정비형 재개발구역 1-5,도시환경정비사업구역,37.570526,127.011682,1277.0
합정재정비촉진지구3구역도시환경정,도시환경정비사업구역,37.549973,126.912203,10575.5
용두1 재정비촉진구역,도시환경정비사업구역,37.577637,127.040187,51329.5
3-7구역,도시환경정비사업구역,37.567548,126.994881,2721.6
마포로3구역,도시환경정비사업구역,37.552491,126.956176,39727.6
홍제역 역세권 활성화사업 도시정비형 재개발정비구역,도시환경정비사업구역,37.591116,126.943508,42515.2
마포로1구역제34지구,도시환경정비사업구역,37.540695,126.94836,4086.6
합정4도시환경정비사업,도시환경정비사업구역,37.549128,126.911214,4959.3
수송 도시정비형재개발구역,도시환경정비사업구역,37.573396,126.980186,72783.0
성내재정비촉진구역4구역,도시환경정비사업구역,37.537032,127.123915,17723.2
적선도시환경정비사업,도시환경정비사업구역,37.574878,126.97353,21163.3
을지로2가도시환경정비구역,도시환경정비사업구역,37.567263,126.985016,85651.9
광운대역세권 공공임대주택 건립,도시환경정비사업구역,37.62267,127.061281,3558.3
세운재정비촉진지구3구역도시환경정,도시환경정비사업구역,37.567184,126.994127,34583.1
중학1구역도시환경정비사업,도시환경정비사업구역,37.574691,126.979249,8129.3
광희동1가303-1알원도시정비형재개발구역,도시환경정비사업구역,37.565371,127.00372,11981.0
한강로 도시환경정비사업,도시환경정비사업구역,37.53442,126.974676,41744.0
천호8 재정비촉진구역,도시환경정비사업구역,37.537969,127.13086,7635.0
문래동4가 도시환경정비구역,도시환경정비사업구역,37.515122,126.890458,94087.2
길음도시환경정비사업,도시환경정비사업구역,37.605791,127.025954,28251.3
