연번,자치구,위치,면적,세대수,현황,lat,lng
1,강북구,번동,0,0,관리계획수립완료,37.6292271,127.0374758
2,중랑구,면목동,0,0,관리계획수립완료,37.5817944,127.0910424
3,금천구,시흥3동,0,0,관리계획수립완료,37.4507049,126.9085555
4,금천구,시흥4동,0,0,관리계획수립완료,37.4507049,126.9085555
5,금천구,시흥5동,0,0,관리계획수립완료,37.4507049,126.9085555
6,동작구,사당동202-29,0,1725,심의통과,37.4850799,126.9704949
7,관악구,은천동635-540,99699,2507,심의통과,37.4873112,126.943035
8,관악구,은천동938-5,74797,2363,심의통과,37.4873112,126.943035
9,마포구,합정동369,97847,1076,심의통과,37.5477846,126.9095636
10,강동구,천호동113-2,58335,971,심의통과,37.54294,127.12733
11,양천구,신월동173,0,1494,심의통과,37.5290495,126.8335466
12,중랑구,망우3동427-5,0,2273,심의통과,37.6008638,127.1076269
13,중랑구,중화1동4-30,0,1612,심의통과,37.6005135,127.0793787
14,마포구,대흥동535-2,19553,270,심의통과,37.5510043,126.9419496
15,종로구,구기동,0,0,공공참여,37.609029,126.9573925
16,서대문구,홍제동,0,0,공공참여,37.5871,126.94676
17,강서구,화곡동,0,0,공공참여,37.542134,126.8441752
18,강서구,등촌2동,0,0,공공참여,37.552056,126.8615649
19,강서구,등촌동,0,0,공공참여,37.552056,126.8615649
20,동작구,상도동,0,0,공공참여,37.4988159,126.9441045
21,동작구,노량진동,0,0,공공참여,37.512613,126.942124
22,관악구,난곡동697-20,41935,0,추진중,37.4707432,126.9202974
23,성동구,응봉동,0,0,공공참여,37.55236,127.03356
24,도봉구,방학동,0,0,공공참여,37.66442,127.03333
25,광진구,강변역,0,0,착공,37.5360746,127.0936062
26,도봉구,방학동618,0,1949,추진중,37.66442,127.03333
27,도봉구,쌍문동460,0,1766,추진중,37.6529346,127.0249366
28,종로구,숭인동61,17413,418,확정,37.57648,127.01848
29,강동구,천호동338,20492,586,확정,37.54294,127.12733
30,강서구,등촌동649,0,89,확정,37.552056,126.8615649
31,관악구,청룡동1535,92871,0,추진중,37.4774977,126.9460227
32,관악구,성현동1021,81623,0,추진중,37.4898358,126.9515644
33,강서구,화곡1동354,0,0,추진중,37.542134,126.8441752
34,강서구,화곡6동1130-7,0,0,조합설립,37.542134,126.8441752
35,강서구,등촌동515-44,0,386,공공참여,37.552056,126.8615649
36,중랑구,면목본동,0,0,추진중,37.5892468,127.0892776
37,중랑구,신내동,0,0,추진중,37.6107129,127.0931277
38,성북구,장위동,0,0,추진중,37.6160221,127.05025
39,성북구,정릉동,0,0,추진중,37.6167954,126.9972998
40,은평구,응암동,0,0,추진중,37.5926573,126.9216114
41,은평구,불광동,0,0,추진중,37.6194236,126.9354046
42,구로구,개봉동,0,0,추진중,37.4946145,126.8562108
43,구로구,고척동,0,0,추진중,37.5023851,126.8628501
44,영등포구,신길동,0,0,추진중,37.5065214,126.9119108
45,동대문구,전농동,0,0,추진중,37.5806,127.05543
46,동대문구,답십리동,0,0,추진중,37.57002,127.05467
47,노원구,상계동,0,0,추진중,37.66727,127.07242
48,노원구,중계동,0,0,추진중,37.6509815,127.0810259
49,강북구,미아동,0,0,추진중,37.6220808,127.0209076
50,강북구,수유동,0,0,추진중,37.636597,127.0043825
51,중랑구,신내1동493-13,0,878,확정,37.6107,127.0931
52,중랑구,묵2동243-7,0,1826,확정,37.6102,127.0778
53,광진구,자양2동649,95353,2325,확정,37.536,127.0936
54,동작구,사당동449,0,0,SH참여,37.485,126.9704
55,송파구,잠실동329,0,0,SH참여,37.5133,127.1001
56,강남구,삼성동84,0,0,SH참여,37.514,127.0565
57,구로구,개봉동20,0,0,SH참여,37.4946,126.8562
58,종로구,구기동100-48,0,0,공공참여,37.609,126.9573
59,서대문구,홍제동322,0,0,공공참여,37.5871,126.9467
60,성동구,응봉동265,0,0,공공참여,37.5523,127.0335
61,양천구,신월동480-1,0,0,SH참여,37.529,126.8335
