연번,자치구,위치,면적,세대수,현황,비고,lat,lng
1,강북구,번동,시범,시범사업,관리계획수립완료,시범사업,37.6292271,127.0374758
2,중랑구,면목동,시범,시범사업,관리계획수립완료,시범사업,37.5817944,127.0910424
3,금천구,시흥3동,,관리계획수립완료,,,37.440723,126.9062357
4,금천구,시흥4동,,관리계획수립완료,,,37.4596434,126.909557
5,금천구,시흥5동,,관리계획수립완료,,,37.4487226,126.9079544
6,동작구,사당동202-29,,1725,심의통과,,37.4850799,126.9704949
7,관악구,은천동635-540,91988,2507,심의통과,,37.4873112,126.943035
8,관악구,은천동938-5,86070,2363,심의통과,,37.4873112,126.943035
9,마포구,합정동369,97847,1076,심의통과,,37.5477846,126.9095636
10,강동구,천호동113-2,58335,971,심의통과,,37.54294,127.12733
11,양천구,신월동173,,1494,심의통과,,37.5290495,126.8335466
12,중랑구,망우3동427-5,,2273,심의통과,,37.5912079,127.1027058
13,중랑구,중화1동4-30,,1612,심의통과,,37.6021175,127.0829099
14,마포구,대흥동535-2,19553,270,심의통과,,37.5510043,126.9419496
15,종로구,구기동,,,공공참여,SH/LH참여,37.609029,126.9573925
16,서대문구,홍제동,,,공공참여,SH/LH참여,37.5871,126.94676
17,강서구,화곡동,,,공공참여,SH/LH참여,37.542134,126.8441752
18,강서구,등촌2동,,,공공참여,SH/LH참여,37.5447496,126.8585423
19,강서구,등촌동,,,공공참여,SH/LH참여,37.552056,126.8615649
20,동작구,상도동,,,공공참여,SH/LH참여,37.4988159,126.9441045
21,동작구,노량진동,,,공공참여,SH/LH참여,37.512613,126.942124
22,관악구,난곡동,,,공공참여,SH/LH참여,37.4707432,126.9202974
23,성동구,응봉동,,,공공참여,SH/LH참여,37.55236,127.03356
24,도봉구,방학동,,,공공참여,SH/LH참여,37.66442,127.03333
