연번,자치구,구역명,면적,세대수,추진단계,구역지정일,lat,lng
1,중랑구,면목8,47798,1260,구역지정,2026-01-15,37.6063,127.093
2,성북구,종암9,32740,854,추진위구성,2025-08-21,37.59,127.0165
3,서대문구,홍제4,28270,560,추진위구성,2025-12-26,37.5790747,126.9367861
4,동대문구,전농152-65,71738,1434,신통착수,,37.5741982,127.0395092
5,성북구,성북3,67308,1346,용역착수,,37.59,127.0165
6,마포구,망원1,78695,1573,용역착수,,37.566571,126.9015317
7,구로구,개봉7,60704,1364,심의,,37.4951999,126.8877
8,구로구,오류동4,55977,1250,주민공람,,37.4951999,126.8877
9,금천구,독산1,79036,1580,심의,,37.4565,126.8954
10,금천구,독산2,81663,1633,심의,,37.4565,126.8954
11,관악구,신림8,92041,2250,추진위구성,2026-02-26,37.4782,126.9518
12,도봉구,쌍문81,64316,1919,심의,,37.6686,127.0466
13,동대문구,장안동134-15,67758,1359,심의,,37.5741982,127.0395092
14,양천구,신월5-72,29665,593,신통통보,,37.5171,126.8663
15,성북구,정릉898-16,53971,1079,용역착수,,37.59,127.0165
16,강북구,미아동345-1,44061,1215,주민공람,,37.6395,127.0255
17,관악구,신림6,43247,992,심의,,37.4782,126.9518
18,영등포구,신길16-2,34445,685,주민공람,,37.5262,126.8959
19,용산구,동후암1,104070,2081,용역착수,,37.5534363,126.9697994
20,용산구,동후암3,82173,1643,용역착수,,37.5534363,126.9697994
21,용산구,중화6,45505,911,주민공람,,37.5534363,126.9697994
22,서대문구,홍제동9-81,119734,2395,신통착수,,37.5790747,126.9367861
23,동작구,사당동63-1,41276,875,추진위구성,2026-01-22,37.5120999,126.9395
24,중랑구,면목동174-1,35970,719,주민공람,,37.6063,127.093
25,광진구,자양동227-147,40837,817,주민공람,,37.5362696,127.0879515
26,강북구,미아동130,71060,1421,주민공람,,37.6395,127.0255
27,서대문구,홍제동287-118,15345,307,신통착수,,37.5790747,126.9367861
28,강북구,미아동75,55001,1100,신통착수,,37.6395,127.0255
29,용산구,이태원동730,44035,881,신통착수,,37.5534363,126.9697994
30,관악구,신림동306,40437,809,용역착수,,37.4782,126.9518
31,서대문구,북가좌동74-107,26164,523,신통착수,,37.5790747,126.9367861
32,광진구,중곡1동254-15,81344,1627,신통착수,,37.5362696,127.0879515
33,구로구,개봉동120-1,76164,1523,신통착수,,37.4951999,126.8877
34,구로구,구로동719,44232,885,용역착수,,37.4951999,126.8877
35,동작구,사당동305-35,41317,826,용역착수,,37.5120999,126.9395
36,은평구,불광동359-1,104783,2096,용역착수,,37.6024,126.9293
37,성북구,장위13-1,131226,2625,용역착수,,37.59,127.0165
38,성북구,장위13-2,110642,2213,용역착수,,37.59,127.0165
39,성북구,정릉2,24138,483,신통착수,,37.59,127.0165
40,관악구,신림10,196841,3937,용역착수,,37.4782,126.9518
41,관악구,신림9,16899,338,용역착수,,37.4782,126.9518
42,양천구,신정4동922,84187,1684,신통착수,,37.5171,126.8663
43,도봉구,쌍문동26,39500,790,용역착수,,37.6686,127.0466
44,금천구,독산동B,121831,2437,신통착수,,37.4565,126.8954
45,영등포구,신길동3922,33897,678,신통착수,,37.5262,126.8959
46,은평구,응암동675,40696,814,용역착수,,37.6024,126.9293
47,용산구,청파동1가97-35,49211,984,후보지선정,,37.5534363,126.9697994
48,용산구,신창동29-1,16024,320,후보지선정,,37.5534363,126.9697994
49,구로구,구로동466,63871,1277,용역착수,,37.4951999,126.8877
50,구로구,개봉동153-19,27100,542,용역착수,,37.4951999,126.8877
51,도봉구,방학동641,72282,1446,용역착수,,37.6686,127.0466
52,동작구,신대방3,29461,589,용역착수,,37.5120999,126.9395
53,동작구,흑석10,45882,918,용역착수,,37.5120999,126.9395
54,동작구,상도23,80937,1619,용역착수,,37.5120999,126.9395
55,성북구,삼선3,56770,1135,신통착수,,37.59,127.0165
56,도봉구,방학동638,39271,785,용역착수,,37.6686,127.0466
57,동작구,상도동214,85788,1715,용역착수,,37.5120999,126.9395
58,동작구,사당동416-1,133077,2661,후보지선정,,37.5120999,126.9395
59,영등포구,도림동133-1,63654,1273,용역착수,,37.5262,126.8959
60,강북구,미아동159,37710,754,후보지선정,,37.6395,127.0255
61,마포구,아현동331-29,18557,371,용역착수,,37.566571,126.9015317
62,용산구,용산동2가1-1351,43017,860,후보지선정,,37.5534363,126.9697994
63,금천구,시흥4동1,24902,498,후보지선정,,37.4565,126.8954
64,종로구,행촌동210-2,76310,1526,용역착수,,37.5806949,126.9827989
65,마포구,합정동444-12,40736,814,후보지선정,,37.566571,126.9015317
66,용산구,이태원동214-37,66986,1339,후보지선정,,37.5534363,126.9697994
67,용산구,용산동2가1-597,53735,1074,후보지선정,,37.5534363,126.9697994
68,은평구,녹번동35-78,20321,406,후보지선정,,37.6024,126.9293
69,구로구,구로동739-7,92521,1850,후보지선정,,37.4951999,126.8877
70,금천구,독산동979,93991,1879,후보지선정,,37.4565,126.8954
71,금천구,독산동1022,83203,1664,후보지선정,,37.4565,126.8954
72,영등포구,신길동90-31,58162,1163,후보지선정,,37.5262,126.8959
73,성북구,정릉동16-179,42811,856,후보지선정,,37.59,127.0165
74,성동구,행당동300-1,42811,856,후보지선정,,37.5635,127.0365
75,마포구,성산동300-1,42811,894,후보지선정,,37.566571,126.9015317
76,강북구,수유동310-15,15945,318,후보지선정,,37.6395,127.0255
77,은평구,신사동300,30222,604,후보지선정,,37.6024,126.9293
78,구로구,개봉동66-15,109371,2187,후보지선정,,37.4951999,126.8877
79,구로구,구로동792-33,58473,1169,후보지선정,,37.4951999,126.8877
80,은평구,불광동442,109365,2187,후보지선정,,37.6024,126.9293
81,은평구,불광동445,89537,1790,후보지선정,,37.6024,126.9293
82,서대문구,옥천동123-2,9864,197,후보지선정,,37.5790747,126.9367861
83,광진구,구의동46,105957,2119,후보지선정,,37.5362696,127.0879515
